Column,id,year,text,company,ciarfn
996,676390,1914,ARGO MINING ANDMIVUNNEL CGMFAW Directors.,ARGO MINING ANDMIVUNNEL CGMFAW,Argo Mining And Tunnel Company
997,286606,1908,"ARGO NAUTS JJMITED. Directors Qualification, 100 shares .",ARGO NAUTS JJMITED,Argo Nauts Jjmited
998,309756,1908,ARGO TRANSPORTATION AND TUNNEL CO.. LTD.,ARGO TRANSPORTATION AND TUNNEL LIMITED,Argo Transportation And Tunnel Limited
999,252041,1903,"ARGO TUNNEL AND MINING COMPANY, LIMITED",ARGO TUNNEL AND MINING COMPANY,Argo Mining And Tunnel Company
1000,366238,1909,"ARGOLI S COPPER MINING SYNDICATE, LIMITED.",ARGOLI COPPER MINING SYNDICATE LIMITED,Argoli Copper Mining Syndicate Limited
1001,309772,1908,ARGOLIS COPPER MININQT SYN DICATET LIMITED,ARGOLIS COPPER MININQT SYN DICATET,Argolis Copper Mininqt Syn Dicatet
1002,462337,1911,"ARGUS P. & P. CO., Ltd., CAPE TOWN.",ARGUS CAPE TOWN,Argus Cape Town
1003,607022,1913,"debtors Argo M. I . 1 . and 1 . Co. , $126173; creditors $9,578. ARGUS COPPER ORES Exjr RACTION co., LTD.",ARGUS COPPER ORES RACTION LIMITED,Argus Copper Ores Raction Limited
1004,461795,1911,ARGUS PRINTING AND PUBLISHING,ARGUS PRINTING AND PUBLISHING,Argus Printing And Publishing Limited
1005,309785,1908,"ARGYLE MINING COMPANY, LIMITED.",ARGYLE MINING COMPANY LIMITED,Argyle Mining Company Limited
1006,993398,1920,"ARGYLL QUARRY CO.. LTD. Directors W. A. Brownlee; w. C. Guthrie; J. R. Shankland, Managing. Quarry Manager W. J. Morton, Kin allen, Argyll. Secretary and Ofllces W. J. Morton, 5, Dixon Street, Glasgow.",ARGYLL QUARRY LIMITED,Argyll Quarry Limited
1007,59385,1889,"ARISPE GOLD MINES OF MEXICO, LIMITED.",ARISPE GOLD MINES MEXICO LIMITED,Arispe Gold Mines Mexico Limited
1008,116980,1891,"ARISTON GOLD MINING COMPANY, LIMITED.",ARISTON GOLD MINING COMPANY LIMITED,Ariston Gold Mining Company Limited
1009,905700,1918,"ARIZONA CONSOLIDATED . COPPER .M INES, LTD. Directors-Hon. E. A. Stanhope, Chairman; W. M. Steward.",ARIZONA CONSOLIDATED COPPER INES LIMITED,Arizona Consolidated Copper Mine Limited
1010,1034863,1921,ARIZONA COPPER CO.. LTD. .,ARIZONA CONSOLIDATED COPPER MINE LIMITED,Arizona Consolidated Copper Mines Limited
1011,676469,1914,"ARIZONA COPBER CVOM F ANYl Ll M ITED. Directors Qualification, £800 of shares or stock other than A reference shares . J. Wilson, Chairman. I W. A. Carter. I P. Dickson, J.P. | F. L. Mac . I A. M Nsb, JJ . Y. J. Pentland. G. Readman. | Hon. Lord Balvesen. Consul ing Engineer Dr. L. D. Ricketts. General Manager N. Carmichael, Clifton, Arizona. ,",ARIZONA CONSOLQATEP QOPPER MINES LIMITED,Arizona Consolqatep Qopper Mines Limited
1012,1242,1887,"ARIZONA COPPER COMPANY, LIMITED,",ARIZONA COPPER COMPANY LIMITED,Arizona Copper Company Limited
1013,834693,1917,ARIZONA. COPPER COMPANY LIMITED.,ARIZONA COPPER COMPANY LIMITED,Arizona Copper Company Limited
1014,905722,1918,"ARIZONA COPPER CO-l LTD. Directors Qualification, £800 of shares or stock other than A preference shares .",ARIZONA COPPER LIMITED,Arizona Copper Limited
1015,676595,1914,ARIZONA-MOREilQL QOPBER COMPANY.,ARIZONA MOREILQL QOPBER COMPANY,Arizona Moreilql Qopber Company
1016,484839,1911,ARIZONA-MORENCI COPPER COMPANY .,ARIZONA MORENCI COPPER COMPANY,Arizona Morenci Copper Company
1017,484762,1911,"The 23rd January, 1907, was appointed settling day in Nob. 1 to 135,007. ARIZONA Pr ER OMPANY, LIMITED. Directors Qualification, £800 of shares or stock other than A preference shares . J. Wilson, Chairman. | P. Dickson, J. P. | G. Readman. | Y. J. Pentland. | Alex. M Nab, J.P.",ARIZONA OMPANY LIMITED,Arizona Ompany Limited
1018,52334,1888,ARIZONA PROSPECTING AND DEVELOPING GOLD,ARIZONA PROSPECTING AND DEVELOPING GOLD,Arizona Prospecting And Developing Gold
1019,765184,1916,ARIzoNA consoDIDATED CoPPER,ARIZONA SODIDATED COPPER,Arizona Sodidated Copper
1020,546279,1912,"ARiZQNA CO PPER CO M PAN Y. LIMITED. J.WilsDoinre, ctors Qualification, £800 of shares or slock other than A preference shares . Chairman. | P. Dickson, J.P. | G. Readman. I Y. J. Pentland. | Alex. M Nab, J. P. F. L. MacLscd. I Lord Salvesen. W. Allan Cartor, C.E. Consulting; Engineer Dr. L. D. Iticketts.",ARIZQNA PPER PAN LIMITED,Arizqna Pper Pan Limited
1021,245794,1903,"ARKIKILIE WASSAU GOLD MINING COMPANY,",ARKIKILIE WASSAU GOLD MINING COMPANY,Arkikilie Wassau Gold Mining Company
1022,366341,1909,",ARLECDON COLLIERY COMPANY. LIMITED.",ARLECDON COLLIERY COMPANY LIMITED,Arlecdon Colliery Company Limited
1023,422947,1910,"ARLEY COLLIERY COMPANY, limited. Directors Qualification, 20 shares £3,000 .",ARLEY COLLIERY COMPANY,Arley Colliery Company
1024,366355,1909,"ARLINGTON GOLD MINES. LIMITED. Directors Qualification, £500 .",ARLINGTON GOLD MINES LIMITED,Arlington Gold Syndicate Limited
1025,1106120,1922,ARMED RUST ANI BURRUSIUN BESISTING IRUN TUBES,ARMED RUST ANI BURRUSIUN BESISTING,Armed Rust Ani Burrusiun Besisting
1026,1132301,1923,"H ARMONY PROPRIETARY 00., LTD. Trustees for Eight per Cent. Debentures African Board of Executors and",ARMONY PROPRIETARY LIMITED,Armony Proprietary Limited
1027,607213,1913,ARMSTRONG GOLD DREDGING COMPANY. LTD.,ARMSTRONG GOLD DREDGING COMPANY LIMITED,Armstrong Gold Dredging Company Limited
1028,1034940,1921,ARN ISTON COAL CO.. LTD.,ARN ISTON COAL LIMITED,Arniston Coal Company Limited
1029,366362,1909,"ARN STON b LTQOW Directors Qualification, 100 shares £1,000 .",ARN STON LTQOW,Arn Ston Ltqow
1030,276261,1908,"ARNHEI S LAND EXPLORATION CO., LTDT",ARNHEI LAND EXPLORATION LTDT,Arnhei Land Exploration Ltdt
1031,607223,1913,ARNISTON COAL COM NY. LIMITED.,ARNISTON COAL COM LIMITED,Arniston Coal Company Limited
1032,309908,1908,"ARNISTON COAL COMPANY, LIMITED.",ARNISTON COAL COMPANY LIMITED,Arniston Coal Company Limited
1033,484903,1911,"ARNOYA M INING COMPANY , LI MITED.",ARNOYA INING COMPANY MITED,Arnoya Ining Company Mited
1034,366391,1909,ARNOYA MINING COMPANY. LIMITED.,ARNOYA MINING COMPANY LIMITED,Arnoya Minlng Company Limited
1035,459118,1911,"ARO TW SYNDCTTrr DMITEDr Directors W. H. Speed; J. T. Muckeozie. Bankers CaDiial 4 Counties Bank, Ltd. | Solicitor W. H. Speed. Secretary and Offices J. G. Angold, 18, Backville Street, Piccadilly, W.",ARO SYNDCTTRR DMITEDR,Aro Syndcttrr Dmitedr
1036,575137,1913,ARO TIN SYNDICATE. LIMITED.,ARO TIN SYNDICATE LIMITED,Aro Tin Syndicate Limited
1037,59499,1889,"ARPAD GOLD SYNDICATE, LIMITED.",ARPAD GOLD SYNDICATE LIMITED,Arpad Gold Syndicate Limited
1038,607274,1913,ARRINDELI. SYNQICAIE LIMITED. .,ARRINDELI SYNQICAIE LIMITED,Arrindeli Synqicaie Limited
1039,332213,1909,"ARRINDELL SYNDICATE, LIMITED.",ARRINDELL SYNDICATE LIMITED,Arrindell Syndicate Limited
1040,484924,1911,"ARROW LAKE MJNTnG COMPANY, LIMITED.",ARROW LAKE MJNTNG COMPANY LIMITED,Arrow Lake Mjntng Company Limited
1041,676683,1914,"ARSENIC OF SPAIN COMPANY, LIMITED.",ARSENIC SPAIN COMPANY LIMITED,Arsenic Spain Company Limited
1042,1074409,1922,"DirectoArsFR IQCuaAlifiNcation,A£D2 XJ E 1N . T.1.kJRcamEe,RCSha,irmaLn T; JD. C.oncliie-",ARSFR IQCUAA SJRUA RCSUA,Arsfr Iqcuaa Sjrua Rcsua
1043,449493,1911,"ARSMecrSeTtaRryONanGd OffGiceOs LDS. ArmDstRronEgD, GING COMPAN Y, LTD.",ARSMEC RRYONECG LDS GING COMPAN,Arsmec Rryonecg Lds Ging Compan
1044,190864,1895,"ARTANA MINING COMPANY, LIMITED.",ARTANA MINING COMPANY LIMITED,Artana Mining Company Limited
1045,309972,1908,"shares were underwritten bv the vendors at a commission of five per cent. ARTHUR LLOYD HOGHTON , TIMITED7-",ARTHUR LLOYD HOGHTON TIMITED,Arthur Lloyd Hoghton Timited
1046,1132337,1923,"H ARTON COAL 00., LTD. Directors Qualificatir n, 5,000 shares 25,000 .",ARTON COAL LIMITED,Arton Coal Limited
1047,366413,1909,"ARUBA GOLD CONCESSION, LIMITED.",ARUBA GOLD CONCESSION LIMITED,Aruba Gold Concession Limited
1048,1350,1887,"ARUBA ISLAND GOLD MINING COMPANY,",ARUBA ISLAND GOLD MINING COMPANY,Aruba Island Gold Mining Company
1049,483738,1911,"Cffices: 3, ARUNDEL STREET, STRAND, W.C.",ARUNDEL STREET STRAND,Arundel Street Strand
1050,212017,1895,"ARUNDEL SYNDICATE, LIMITED.",ARUNDEL SYNDICATE LIMITED,Arrindell Syndicate Limited
1051,1034969,1921,"ASA-M KUMBANG TlhT DREDGING, LTD.",ASA KUMBANG DREDGING LIMITED,Asa Kumbang Dredging Limited
1052,905856,1918,ASAM KUMBANG DTIF: Dl-K EDC-EINGI LTD. 1160 ors.,ASAM KUMBANG DTIF EDC EINGI,Asam Kumbang Dtif Edc Eingi
1053,905865,1918,ASAM KUMBAN G TIN,ASAM KUMBANG DTIF EDC EINGI,Asam Kumbang Dtlb Dredging Limited
1054,834981,1917,ASAM KUMBANG TIN,ASAM KUMBANG TIN BREDGING LIMITED,Asam Kumbang Tin Dredging Limited
1055,1065437,1921,"BT- ASAPH LEAD, ZINC AND BARYTA",ASAPH LEAD ZINC AND BARYTA,Asaph Lead Zinc And Baryta
1056,704922,1914,"ST. ASAPH ZINC, L D AflD BARYTA 0 0., LTD: Directors.",ASAPH ZINC BARYTA LIMITED,Asaph Zinc Leajqmqoeisd Baryta Limited
1057,519893,1912,"ASBESTOS PROPRIETARY MINES, LIMITED.",ASBESTOS PROPRIETARY MINES LIMITED,Asbestos Proprietary Mines Limited
1058,161558,1894,"ASBY COLLIERY COMPANY, LIMITED.",ASBY COLLIERY COMPANY LIMITED,Asby Colliery Company Limited
1059,835110,1917,"ASCHoAnsNuTltIingGEOnLgDinEee rI ELWD.S CORPORATION R. Feldtman , M.I.M.M., 138, Salisbury House, E.C. Mines Manager J. S. Watkins, M.I.M.M., Obuasi, Ashanti, Gold Coast Colony.",ASCHOAN NGGEOOLND ELWD CORPORATION,Aschoan Nggeoolnd Elwd Corporation
1060,765588,1916,ASEIANTI GOLDE IELDS CORPORATION,ASEIANTI GOLDE IELDS CORPORATION,Aseianti Golde Ields Corporation
1061,607282,1913,"oapitalis 210,000,7in 10,000 shares ofr£1 each; 7 v Wm r m ASGARD MIMNGNCQME ANY, LIMITED.",ASGARD MIMNGNCQME ANY LIMITED,Asgard Mimngncqme Any Limited
1062,546456,1912,"ASGARD MINING COMPANY, LIMITED.",ASGARD MINING COMPANY LIMITED,Asgarwd Mining Companyi Limited
1063,715724,1915,"ASGARWD MINING COMPANYI LIMITED. Directors Qualification, 1,000 shares .",ASGARWD MINING COMPANYI LIMITED,Asgarwd Mining Companyi Limited
1064,286687,1908,"ASH ANTI GOLDFIELDS C O R PO RAT10 N , LIM ITED.",ASH ANTI GOLDFIELDS RAT LIM,Ash Anti Goldfields Rat Lim
1065,286816,1908,"ASH ANTI RlVERS AND CONCESSI ON S, LIMITED.",ASH ANTI RLVERS AND CONCESSI,Ash Anti Rlvers And Concessi
1066,366416,1909,"Queen Street Plaoe, E.C. ASH G ATE CO LLlE RY COMPANY, LI MITE D .",ASH ATE LLLE COMPANY MITE,Ash Ate Llle Company Mite
1067,906022,1918,ASH BURN HAM COLLIERIESI LTD.,ASH BURN HAM COLLIERIESI LIMITED,Ash Burn Ham Collieries Limited
1068,546488,1912,"of £1 each ; 12.302 shares are issued and fuHy paid, inoluding vendors . ASH GATE COLLIERY COMPANY, LIMITED.",ASH GATE COLLIERY COMPANY LIMITED,Ash Gate Colliery Company Limited
1069,835185,1917,"ASH INGTON COAL COMPANY, LIMITED. Directors Qualification, £5,000 .",ASH INGTON COAL COMPANY LIMITED,Ash Ington Coal Company Limited
1070,459278,1911,ASHAHTI GOIjDPIELDS CORPOBATION,ASHAHTI GOIJDPIELDS CORPOBATION,Ashahti Goijdpields Corpobation
1071,343017,1909,"ASHAN TiI R I V E R S AND CONCESSIO N S , M ITE D 7",ASHAN AND CONCESSIO ITE,Ashan And Concessio Ite
1072,765526,1916,"ASHANT GOLD COAST ACOUISITIONS CO., LTD,",ASHANT GOLD COAST ACOUISITIONS LIMITED,Ashant Gold Coast Acouisitions Limited
1073,765567,1916,"ASHANT GOLDFIELDS CORPORATION, LIMITED,",ASHANT GOLD COAST ACOUISITIONS LIMITED,Ashant Gold Coast Acquisitions Limited
1074,286623,1908,"ASHANTI AND GOLD COAST UNITED, LIMITED.",ASHANTI AND GOLD COAST UNITED,Ashanti And Limited
1075,649110,1914,ASHANTI BAN KET. LIMITED.,ASHANTI BAN KET LIMITED,Ashanti Ban Ket Limited
1076,459161,1911,"ASHANTI . BILPRAW LIMITED. Directors Qualifications £125 . Capt. W. D. McTaggart, D.L., J.P., Chairman. | S. Caldwell. | Alfred Jones, Consulting Engineer-M . Cal iwell. Secretary and Offices A. J. ColdweUf, BlocmBeld House, E.C., Phone: 1063 Central.",ASHANTI BILPRAW LIMITED,Ashanti Bilpraw Limited
1077,342857,1909,"ASHANTI CENTRAL. SY NDIC ATE , LIMITED.",ASHANTI CENTRAL NDIC ATE LIMITED,Ashanti Central Syndicate Limited
1078,286638,1908,ASHANTI CONSOLS. LIMITED.,ASHANTI CONSOLS LIMITED,Ashanti Consolsi Limited
1079,459173,1911,"ASHANTI DEVELOPMENT, LIMITED",ASHANTI DEVELOPMENT LIMITED,Ashanti Development Limited Idir
1080,149540,1893,"ASHANTI EXPLORATION COMPANY, LIMITED.",ASHANTI EXPLORATION COMPANY LIMITED,Ashanti Exploration Company Limited
1081,245951,1903,ASHANTI FRONTIER CONCESSIONS. LIMITED.,ASHANTI FRONTIER CONCESSIONS LIMITED,Ashanti Frontier Concessions Limited
1082,246045,1903,ASHANTI GOLD MINES,ASHANTI GOLB REE SYNDICATE LIMITED,Ashanti Golb Ree Syndicate Limited
1083,246076,1903,"ASHANTI GOLD TRUST, LIMITED.",ASHANTI GOLB REE SYNDICATE LIMITED,Ashanti Gold Coast Acquisitions Limited
1084,1118589,1923,"ASHANTI GOLDFIELDS CORPN., LTD.",ASHANTI GOLD COAST ACQUISITIONS LIMITED,Ashanti Gold Concessions Syndicate Limited
1085,245963,1903,ASHANTI GOLDFIELDS AUXILIARYI LIMITED.,ASHANTI GOLD MINES SELECTION SYNDICATEL,Ashanti Gold Mines Selection Syndicatel
1086,286755,1908,"ASHANTI GOLD TRUST, LIMITED. Liquidator and Offices G. U. Walker, 19, St. Swithin s Lane, E.G. This company was registered July 2nd, 1900, to acquire from the Fanti Synd.,",ASHANTI GOLD TRUST LIMITED,Ashanti Goldf Lqs Territories Limited
1087,1035026,1921,ASHANTI GOLDFIELDB COLBPN- cont mued.,ASHANTI GOLDFIELDS CORPN LIMITED,Ashanti Goldfields Corpn Limited
1088,342886,1909,ASHANTI GOLDFIELDS CORPORATION,ASHANTI GOLDFIELDS CORPORATION,Ashanti Goldfields Corporation
1089,906015,1918,ASHANTI GOLDFIELDS CORPORATION,ASHANTI GOLDFIELDS CORPORATION,Ashanti Goldfields Corporation Limited
1090,955968,1919,ASHANTI GOLDFIELDS CORPORA I ION,ASHANTI GOLDFIELDS CORPORATION LIMITED,Ashanti Goldfields Corporation Limited
1091,835105,1917,"AsHANTI GoLDFIDEiLreDctSors CQuOaliRficPatOionR, £A50T0 I.ON, LIMITE-D.",ASHANTI GSLDFIDEILR CQIOR LIMITE,Ashanti Gsldfideilr Cqior Limite
1092,246094,1903,"ASHANTI KWAU SYNDICATE, LIMITED.",ASHANTI KWAU SYNDICATE LIMITED,Ashanti Kwau Syndicate Limited
1093,246098,1903,"ASHANTI LAN DS, LIMITED.",ASHANTI LAN LIMITED,Ashanti Lands Limited
1094,246126,1903,ASHANTI MINES. LIMITED.,ASHANTI MINES LIMITED,Ashanti Mines Limited
1095,459315,1911,"ASHANTI NATIVE GOLD ESTATES, LIMITED.",ASHANTI NATIVE GOLD ESTATES LIMITED,Ashanti Native Gold Estates Limited
1096,575346,1913,ASHANTI NATIVE GOLD,ASHANTI NATIVEP LOESTATEV LIMITED,Ashanti Nativep Loestatev Limited
1097,1076764,1922,ASHANTI OBUASI REEFS. LTD.,ASHANTI OBUASI REEFS LIMITED,Ashanti Obuasi Reefs Limited
1098,459335,1911,ASHANTI PRO PERTIEB,ASHANTI PRO PERTIEB,Ashanti Properties Limited
1099,286801,1908,"ASHANTI QUARTZITE GOLD MINING CO., LTD. Directors.",ASHANTI QUARTZITE GOLD MINING LIMITED,Ashanti Quartzite Gold Mining Limited
1100,1035077,1921,ASHANTI REEFS. LTD,ASHANTI REEFS LIMITED,Ashanti Reefs Limited
1101,286843,1908,ASHANTI RIVERS AND CONCESSIONS,ASHANTI RIVERS AND CONCESSIONS,Ashanti Rivers And Concessions Limited
1102,246185,1903,ASHANTI SANSU MINE. LlMlTED.,ASHANTI SANSU MINE LLMLTED,Ashanti Sansu Mine Llmlted
1103,246218,1903,"ASHANTI THREE RIVERS SYNDICATE, LIMITED.",ASHANTI THREE RIVERS SYNDICATE LIMITED,Ashanti Three Rivers Syndicate Limited
1104,423003,1910,"ASHBURlNHAM minerals development- SYN DICATE, LI MITED.",ASHBURLNHAM SYN DICATE MITED,Ashburlnham Syn Dicate Mited
1105,835178,1917,"ASHBURNHAM gOLLIERIES, LIMITED. irectors.",ASHBURNHAM GOLLIERIES LIMITED,Ash Burn Ham Collieries Limited
1106,423008,1910,"ASHGATE COLLIE COlvfPANY, mTTEO:",ASHGATE COLLIE COLVFPANY FTTEO,Ashgate Collie Colvfpany Ftteo
1107,366429,1909,"ASHINGTON COAL COMPANY, LIMITED.",ASHINGTON COAL COMPANY LIMITED,Ashington Coal Company Limited Saecs
1108,906036,1918,"ASHINGTON COAL CO., LTD.,",ASHINGTON COAL LIMITED,Ashington Qqalcomeany Limited
1109,161570,1894,ASHMOKE PARK COLLIEHY,ASHMOKE PARK COLLIEHY,Ashmoke Park Colliehy
1110,161567,1894,"ASHMORE PARK COLLIERY COMPANY, LIMITED.",ASHMORE PARK COLLIERY COMPANY LIMITED,Ashmore Park Colliery Company Limited
1111,310023,1908,"ASHOVER FLUOR SPAR MINES, LIMITED. Directors C. Cooper ; J. B. Gregory ; H. Seed j R. C. Winder. Secretary and Offices Joseph Mears, 33, Princess Street, Manchester.",ASHOVER FLUOR SPAR MINES LIMITED,Ashover Fluor Spar Mines Limited
1112,993722,1920,"ASHOVER TRUST. LTD Directors E. A. Claremont; C. Cooper; F. .1. Warren. Secretary and Offices O. Blagg. 60,",ASHOVER TRUST LIMITED,Ashover Trust Limited
1113,1118708,1923,"ASHTON MOSS COLLIERY, LTD. Directors.",ASHTON MOSS COLLIERY LIMITED,Ashton Moss Colliery Limited
1114,252152,1903,ASHTON VALE IRON COhA PANY. LIMITED.,ASHTON VALE IRON COHA PANY,Ashton Vale Iron Coha Pany
1115,252161,1903,ASHTON VALE IRON,ASHTON VALE IRON COHA PANY,Ashton Vale Iron Company Limited
1116,906058,1918,"ASHTON VALE IRON CO-, LTD.",ASHTON VALE IRON LIMITED,Ashton Vale Iron Limited
1117,956092,1919,ASHTON VALE IBON eontinued.,ASHTON VALE IRON LIMITED,Ashton Vale Nlron Company Limited
1118,575186,1913,"ASHTrNTl GOLD C EST AiCQiUJSITIONS T01, LTCD.",ASHTRNTR GOLD EST AICQRUJSITIONS LTCD,Ashtrntr Gold Est Aicqrujsitions Ltcd
1119,546528,1912,"Transfer form, common; fee, 2s. 6d. Latest price £100 stock , 8, 10. ASIA lNOR C PAlWT IMrTED This company was registered November 12th, 1896 see vol. for 1909 . On",ASIA LNOR PALWT IMLTED,Asia Lnor Palwt Imlted
1120,161620,1894,"ASIA MINOR COMPANY, LIMITED.",ASIA MINOR COMPANY LIMITED,Asia Minor Exploration Syndicatel Limited
1121,1405,1887,"ASIA MINOR MINING COMPANY,",ASIA MINOR MINING COMPANY,Asia Minor Mining Company Limited
1122,575438,1913,"ASIAKWA ALLUVIAL SYNDICATE, LIMITED.",ASIAKWA ALLUVIAL SYNDICATE LIMITED,Asiakwa Alluvial Syndicate Limited
1123,286865,1908,"ASIAKWA HCOYRDPROARATTjILOINC,KILNIMGITEDA.ND MINING",ASIAKWA HCOYRDPROARATTJILOINC KILNIMGITEDA MINING,Asiakwa Hcoyrdproarattjiloinc Kilnimgiteda Mining
1124,246240,1903,ASIAKWA HYDRAULICKING AND MINING,ASIAKWA HYDRAULICKING AND MINING CORPORATION,Asiakwa Hyoraulicking And Mining Corporation
1125,546534,1912,"ASIATIC CONCESSIONS, LIMITED.",ASIATIC CONCESSIONS LIMITED,Asiatic Concessions Limited
1126,676764,1914,"ASIATIC ENTERPRISES SYNDICATE, LIMITED.",ASIATIC ENTERPRISES SYNDICATE LIMITED,Asiatic Enterprises Syndicate Limited
1127,484945,1911,"ASIATIC SYNDICATE, LIMITED.",ASIATIC SYNDICATE LIMITED,Asiatic Syndicate Limited
1128,423033,1910,"ASiHTO NT VALE IRO NT CO MPANY . LI M ITEPT Directors Qualification, ££00 stock .",ASIHTO VALE IRO MPANY ITEPT,Asihto Vale Iro Mpany Itept
1129,246277,1903,ASIKAM BIBIANI GOLDFIELDS. LIMITED.,ASIKAM BIBIANI GOLDFIELDS LIMITED,Asikam Bibiani Goldfields Limited
1130,545493,1912,. At-ASKA TREASURET GOLD MINING COMPANY. Directors.,ASKA TREASURET GOLD MINING COMPANY,Aska Treasuret Gold Mining Company
1131,906111,1918,ASKEBN COAL AND IRON,ASKEBN COAL AND IRON,Askebn Coal And Iron
1132,765760,1916,"ASKERN COAL AND IRON COMPANY, LIMITED.",ASKERN COAL AND IRON COMPANY,Askern Coal And Iron Company
1133,835229,1917,ASKERN COAL AND IRON,ASKERN COAL AND IRON COMPANY,Askern Coal And Iron Company
1134,993770,1920,"ASKERN COAL A ND IRON 00., LTBT",ASKERN COAL IRON LTBT,Askern Coal Jan Iron Limited
1135,607363,1913,"ASKERN ESTATESiVCOMPANY, LIMITED. Directors Qualification, 60 ordinary shares .",ASKERN ESTATESIVCOMPANY LIMITED,Askern Estatesivcompany Limited
1136,212025,1895,"ASKWITH AND COMPANY, LIMITED.",ASKWITH AND COMPANY LIMITED,Askwith And Company Limited
1137,459422,1911,"shares held. Liquidator, P. A. Casserley, 7, Houthampton St., Uolborn, W.O. ASP DEVELC MEWTSYN D IC ATE, LI M ITED:",ASP DEVELC MEWTSYN ATE ITED,Asp Development Syndicate Limitedt
1138,520182,1912,"ASP DEVELOPMENT SYNDICATE, LIMITEDThis",ASP DEVELOPMENT SYNDICATE LIMITEDTHI,Asp Development Syndicate Limitedt
1139,1076887,1922,"ASP GOLD DMINING CO., LTD. irectors. -",ASP GOLD DMINING LIMITED,Asp Gold Mining Limited
1140,649324,1914,"ASP GOLD MINING COM fl NY, LIMITED. Directors.",ASP GOLD MINING COM LIMITED,Asp Gold Mining Company Hlimivted
1141,715996,1915,ASP GOLD MINING COMPANY. LIMITED.,ASP GOLD MINING COMPANY LIMITED,Asp Gold Mining Company Limited
1142,906142,1918,"ASP GOLD MINING CO., LTD.",ASP GOLD MINING LIMITED,Asp Gold Mining Limited
1143,1118792,1923,ASP GOLD MINING,ASP GOLD MINING LIMITED,Asp Gold Minlng Company Limited
1144,676820,1914,"ASPERA COPPELSXNQIQATE, LIMITED.",ASPERA COPPELSXNQIQATE LIMITED,Aspera Coppelsxnqiqate Limited
1145,94625,1891,ASPRIEKES SILVER LEAD,ASPRIEKES SILVER LEAD,Aspriekes Silver Lead
1146,1482,1887,"ASPRIERES SILVER LEAD COMPANY,",ASPRIERES SILVER LEAD COMPANY,Asprieres Silver Lead Company Limited
1147,520216,1912,"ASS AC H E R I E AS HANT| G0LD MINES. LI MTTEDr Directors Qualincation, £100 D. J. ifeame ; J. Conchio.",ASS HANT GOLD MINES MTTEDR,Ass Hant Gold Mines Mttedr
1148,575524,1913,"ASSACHERIE ASH AflflL QQLD MINES, LIMITED.",ASSACHERIE ASH QQLD MINES LIMITED,Assacherie Ash Qqld Mines Limited
1149,398253,1910,"ASSASIADUM-TARKWA GOLD MINES, LIMITED.",ASSASIADUM TARKWA GOLD MINES LIMITED,Assasiadum Tarkwa Gold Mines Limited
1150,246296,1903,ASSASlADUM TARKWA GOLD MINESI LIMITED.,ASSASLADUM TARKWA GOLD MINESI LIMITED,Assasladum Tarkwa Gold Minesi Limited
1151,1106122,1922,Genuinev Refined English ASSAY LITHARGE CRESCENT BRAND.,ASSAY LITHARGE CRESCENT BRAND,Assay Litharge Crescent Brand
1152,644730,1913,"which were in April, 1912, ofiered for subscription at par, the final call of filing due Marglllst, 1913. W W. A. G. ASSETS COMPANY, LIMITED. Directors Qualification, 12100 . 0. Wethered, Chairman.",ASSETS COMPANY LIMITED,Assets Company Limited
1153,716019,1915,"ASSETS DEVELOPMENJMGIED INVESTMENT TRUST,",ASSETS DEVELOPMENJMGIED INVESTMENT TRUST,Assets Development And Investment Trust
1154,765866,1916,ASSETS DEVELOPMENT ANB INVESTMENT TRUST,ASSETS DEVELOPMENT ANB INVESTMENT TRUST,Assets Development And Investment Trust
1155,246309,1903,"ASSIN AND ASHANTI SYNDICATE, LIMITED.",ASSIN AND ASHANTI SYNDICATE LIMITED,Assin And Ashanti Syndicate Limited
1156,398261,1910,"ASSIN FESU AND GOLD COAST SYNDICATE, LIMITED.",ASSIN FESU AND GOLD COAST,Assin Fesu Golqqqastmsyndicate Limited
1157,332381,1909,"ASSOC aTeD AJv WORTH jyi I NES, LIMHTED.",ASSOC AJV WORTH NES LIMHTED,Assoc Ajv Worth Nes Limhted
1158,332360,1909,ASSOC. ATED QUEEN SLAN D M I N ES. LI mTtEDDirectors.,ASSOC ATED QUEEN SLAN MTTEDDIR,Assoc Ated Queen Slan Mtteddir
